SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS,,,,,,,,,,
,,,,,,,,,,
REDE:,Piezometria,,,,,,,,,
,,,,,,,,,,
CÓDIGO,NOME,DISTRITO,CONCELHO,FREGUESIA,BACIA,ALTITUDE (M),COORD_X (M),COORD_Y (M),SISTEMA AQUÍFERO,ESTADO
476/19,RA1-AMEIRA,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),SADO,27,166255,159011,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
298/48,RA2,SANTARÉM,OURÉM,CAXARIAS,TEJO,190,164948,305707,O15 - OURÉM,
466/69,RA2,SETÚBAL,GRÂNDOLA,-,SADO,8.32,139072,163967,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
518/30,RA2,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,SADO,44,177534,113044,T6 - BACIA DE ALVALADE,
595/1024,RA2,FARO,SILVES,-,RIBEIRAS DO ALGARVE,68.36,181692,27134,M5 - QUERENÇA - SILVES,
486/37,RA2-PARCHANAS,SETÚBAL,ALCÁCER DO SAL,-,SADO,24,177070,146070,T0 - BACIA DO TEJO-SADO INDIFERENCIADO,
307/134,RA2PZ,LEIRIA,ALCOBAÇA,COZ,RIBEIRAS DO OESTE,58,130325,292300,O19 - ALPEDRIZ,
298/49,RA3,SANTARÉM,OURÉM,OLIVAL,TEJO,150,162048,304222,O15 - OURÉM,
465/575,RA3,SETÚBAL,GRÂNDOLA,-,SADO,0,134879,167428,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
595/1025,RA3,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,72.84,180505,26815,M5 - QUERENÇA - SILVES,
307/135,RA3 PZ,LEIRIA,ALCOBAÇA,ALPEDRIZ,RIBEIRAS DO OESTE,72,130875,296300,O19 - ALPEDRIZ,
476/20,RA3-Valverde,SETÚBAL,ALCÁCER DO SAL,-,SADO,94,164631,150079,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
298/50,RA4,SANTARÉM,OURÉM,OLIVAL,TEJO,232,157115,305248,O15 - OURÉM,
465/576,RA4,SETÚBAL,GRÂNDOLA,-,SADO,2.77,134327,167183,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
595/1028,RA4,FARO,SILVES,SILVES,RIBEIRAS DO ALGARVE,91.32,178125,25560,M5 - QUERENÇA - SILVES,
476/258,RA4 (F9),SETÚBAL,ALCÁCER DO SAL,-,SADO,70,166133.6,150595.6,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
476/21,RA4-CACHOPOS,SETÚBAL,ALCÁCER DO SAL,-,SADO,10,154145,158578,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
337/94,RA4PZ,LEIRIA,ÓBIDOS,OLHO MARINHO,RIBEIRAS DO OESTE,128,103253.5,262505.5,O24 - CESAREDA,
298/51,RA5,SANTARÉM,OURÉM,GONDEMARIA,TEJO,187,159385.6,302504.7,O15 - OURÉM,
415/72,RA5,LISBOA,CASCAIS,ALCABIDECHE,RIBEIRAS DO OESTE,231.5,83675.5,200498,O0 - ORLA OCIDENTAL INDIFERENCIADO,
465/577,RA5,SETÚBAL,GRÂNDOLA,-,SADO,9.77,135618,167135,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
595/1033,RA5,FARO,SILVES,SILVES,ARADE,94.81,175360,23750,M5 - QUERENÇA - SILVES,
484/8,RA5-Carvalhal,SETÚBAL,GRÂNDOLA,-,SADO,20,146796,149281,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
349/101,RA5PZ,LISBOA,LOURINHÃ,SÃO BARTOLOMEU DOS GALEGOS,RIBEIRAS DO OESTE,135,102017.8,259681.9,O24 - CESAREDA,
299/112,RA6,SANTARÉM,OURÉM,CAXARIAS,TEJO,108,168942.5,303917.6,O15 - OURÉM,
430/409,RA6,LISBOA,CASCAIS,ALCABIDECHE,TEJO,64.6,88007,197462.6,O28 - PISÕES - ATROZELA,
524/85,RF 1,BEJA,SERPA,VILA VERDE DE FICALHO,GUADIANA,265,273969,110138,A10 - MOURA - FICALHO,EM SERVIÇO
440/107,RLA 1 SANTINHA,ÉVORA,VILA VIÇOSA,VILA VIÇOSA (CONCEIÇÃO),TEJO,417,262887,197691,A4 - ESTREMOZ - CANO,
440/109,RLA 3C,ÉVORA,VILA VIÇOSA,PARDAIS,TEJO,391,263290,195816,A4 - ESTREMOZ - CANO,
338/2,RLA1,LEIRIA,ÓBIDOS,AMOREIRA,RIBEIRAS DO OESTE,25,107380,264700,O33 - CALDAS DA RAINHA - NAZARÉ,EM SERVIÇO
173/13,RN,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,3,150750,416770,O2 - CRETÁCICO DE AVEIRO,
162A/9,RN 1,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,7,151127,420722,O2 - CRETÁCICO DE AVEIRO,
162A/10,RN 2,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,7,151124,420722,O1 - QUATERNÁRIO DE AVEIRO,
162A/11,RN 3,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,7,151123,420724,O1 - QUATERNÁRIO DE AVEIRO,
196/212,RN 6,AVEIRO,OLIVEIRA DO BAIRRO,OIÃ,VOUGA/RIBEIRAS COSTEIRAS,45,164630,397200,O2 - CRETÁCICO DE AVEIRO,ENTULHADO
397/168,ROÇA 1,PORTALEGRE,SOUSEL,CANO,TEJO,248,233489,221553,A4 - ESTREMOZ - CANO,
397/167,ROÇA 2,PORTALEGRE,SOUSEL,CANO,TEJO,248,233429,221080,A4 - ESTREMOZ - CANO,EM SERVIÇO
610/186,S 16,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,14.47,209200,9150,M12 - CAMPINA DE FARO,EM SERVIÇO
455/8,S 7,SETÚBAL,SETÚBAL,SADO,SADO,2,143260,171080,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
455/10,S 8,SETÚBAL,SETÚBAL,SADO,SADO,3,142850,170620,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
526/71,S1,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,33,139110,108868,O32 - SINES,EM SERVIÇO
526/72,S2,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,22,141168,107746,O32 - SINES,EM SERVIÇO
526/73,S3,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,32,141947,108202,O32 - SINES,EM SERVIÇO
516/190,S5,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,42,141847,111022,O32 - SINES,EM SERVIÇO
526/74,S6,SETÚBAL,SINES,SINES,RIBEIRAS DO ALENTEJO,48,142624,108830,O32 - SINES,EM SERVIÇO
597/661,SB1,FARO,LOULÉ,LOULÉ (SÃO CLEMENTE),RIBEIRAS DO ALGARVE,242.53,213115,23019,M8 - S. BRÁS DE ALPORTEL,EM SERVIÇO
600/301,SB1,FARO,CASTRO MARIM,ALTURA,RIBEIRAS DO ALGARVE,11.02,256914.2,24164,M16 - S. BARTOLOMEU,EM SERVIÇO
598/249,SB2,FARO,SÃO BRÁS DE ALPORTEL,SÃO BRÁS DE ALPORTEL,RIBEIRAS DO ALGARVE,222.19,222586.1,20067.3,M8 - S. BRÁS DE ALPORTEL,EM SERVIÇO
600/303,SB2,PORTO,VALONGO,-,RIBEIRAS DO ALGARVE,42,248662.8,21078.1,M16 - S. BARTOLOMEU,EM SERVIÇO
598/250,SB3,FARO,SÃO BRÁS DE ALPORTEL,SÃO BRÁS DE ALPORTEL,RIBEIRAS DO ALGARVE,294.98,218706.8,22074.7,M8 - S. BRÁS DE ALPORTEL,EM SERVIÇO
600/304,SB3,FARO,VILA REAL DE SANTO ANTÓNIO,VILA NOVA DE CACELA,RIBEIRAS DO ALGARVE,20.83,253906.4,23745.3,M16 - S. BARTOLOMEU,EM SERVIÇO
600/302,SB4,FARO,VILA REAL DE SANTO ANTÓNIO,VILA NOVA DE CACELA,RIBEIRAS DO ALGARVE,22.56,251043.8,21620.3,M16 - S. BARTOLOMEU,EM SERVIÇO
501/63,SD3 Bicas1,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),GUADIANA,186.87,259806,130956,A10 - MOURA - FICALHO,
426/334,SDH1-VILA VIÇOSA,ÉVORA,VILA VIÇOSA,VILA VIÇOSA (CONCEIÇÃO),GUADIANA,401.01,261350,202194,A4 - ESTREMOZ - CANO,
411/206,SDH10 - VENDA DA PORCA,ÉVORA,ESTREMOZ,SÃO BENTO DO AMEIXIAL,TEJO,362,243125,212625,A4 - ESTREMOZ - CANO,
396/162,SDH11 - LAMEIRÃO,PORTALEGRE,SOUSEL,CANO,TEJO,226,228705,223149,A0 - MACIÇO ANTIGO INDIFERENCIADO,
426/335,SDH2 - RIO DE MOÍNHOS,ÉVORA,BORBA,RIO DE MOINHOS,GUADIANA,392.35,257568,200705,A4 - ESTREMOZ - CANO,
532/75,SDH3 - Monte da Lobata,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,160,242550,109100,A9 - GABROS DE BEJA,
426/337,SDH4 - NORA,ÉVORA,BORBA,RIO DE MOINHOS,GUADIANA,418,254000,203100,A4 - ESTREMOZ - CANO,
426/347,SDH9 - ARCOS,ÉVORA,ESTREMOZ,ARCOS,TEJO,424,255150,207425,A4 - ESTREMOZ - CANO,
611/115,SH F 14,FARO,FARO,FARO (SÃO PEDRO),RIBEIRAS DO ALGARVE,5.91,216820,7820,M12 - CAMPINA DE FARO,EM SERVIÇO
513/34,SH LAMEIRA 1,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,213.09,266242,124204,A10 - MOURA - FICALHO,
513/35,SH LAMEIRA 2,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,214,266245,124203,A10 - MOURA - FICALHO,
512/50,SH MONTE BRANCO 1,BEJA,SERPA,PIAS,GUADIANA,194.44,259686,122504,A10 - MOURA - FICALHO,
524/49,SH PALHAIS 2,BEJA,MOURA,SOBRAL DA ADIÇA,GUADIANA,282.06,274703,113045,A10 - MOURA - FICALHO,
524/50,SH ROSA DA LAVADA 1,BEJA,MOURA,SOBRAL DA ADIÇA,GUADIANA,264.13,270017,116763,A10 - MOURA - FICALHO,
501/65,SH SANTO ANTÓNIO 2,BEJA,MOURA,MOURA (SANTO AGOSTINHO),GUADIANA,158.36,260951,131274,A10 - MOURA - FICALHO,
533/43,SI1,BEJA,SERPA,SERPA (SALVADOR),GUADIANA,160,251020,103800,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
416/125,SJS,LISBOA,SINTRA,ALMARGEM DO BISPO,TEJO,210,99710.1,206101.8,O0 - ORLA OCIDENTAL INDIFERENCIADO,
612/10,SJVQ1,FARO,OLHÃO,-,RIBEIRAS DO ALGARVE,27.97,233414.6,9845.1,M10 - S. JOÃO DA VENDA - QUELFES,EM SERVIÇO
607/887,SJVQ2,FARO,OLHÃO,-,RIBEIRAS DO ALGARVE,112.14,227018.1,13590.1,M10 - S. JOÃO DA VENDA - QUELFES,EM SERVIÇO
607/886,SJVQ3,FARO,OLHÃO,-,RIBEIRAS DO ALGARVE,50.12,230692.2,13628.6,M10 - S. JOÃO DA VENDA - QUELFES,EM SERVIÇO
606/1661,SJVQ4,FARO,LOULÉ,ALMANSIL,RIBEIRAS DO ALGARVE,42.62,207854.8,13050.5,M10 - S. JOÃO DA VENDA - QUELFES,EM SERVIÇO
272/20,SL,LEIRIA,LEIRIA,COIMBRÃO,LIS/RIBEIRAS COSTEIRAS,60,134300,329160,O10 - LEIROSA - MONTE REAL,
285/106,SL,LEIRIA,LEIRIA,AMOR,LIS/RIBEIRAS COSTEIRAS,29,137386,315303,O12 - VIEIRA DE LEIRIA - MARINHA GRANDE,
430/10,SL4,LISBOA,CASCAIS,SÃO DOMINGOS DE RANA,TEJO,70,96770.6,197492,O0 - ORLA OCIDENTAL INDIFERENCIADO,
349/32,SM 11,LISBOA,LOURINHÃ,SÃO BARTOLOMEU DOS GALEGOS,RIBEIRAS DO OESTE,57,100596,259143,O23 - PAÇO,
261/151,SO3,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,61,139235,333857,O10 - LEIROSA - MONTE REAL,
261/149,SO4,LEIRIA,POMBAL,CARRIÇO,LIS/RIBEIRAS COSTEIRAS,50,138231,336231,O10 - LEIROSA - MONTE REAL,
584/22,SPA3,FARO,ALJEZUR,ALJEZUR,RIBEIRAS DO ALGARVE,9.85,140848.14,39342.85,A0 - MACIÇO ANTIGO INDIFERENCIADO,ABANDONADO
371/45,STO ANTÓNIO DE PAREDES,PORTALEGRE,MONFORTE,VAIAMONTE,TEJO,297,249395,242090,A3 - MONFORTE - ALTER DO CHÃO,
340/95,SVI-2,SANTARÉM,RIO MAIOR,ARRUDA DOS PISÕES,TEJO,35,137970,260760,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
387/4,Salvador,PORTALEGRE,CAMPO MAIOR,SÃO JOÃO BAPTISTA,GUADIANA,190,299975,231625,A11 - ELVAS - CAMPO MAIOR,
413/123,Sto António,PORTALEGRE,ELVAS,SÃO BRÁS E SÃO LOURENÇO,GUADIANA,390,278800,215475,A5 - ELVAS - VILA BOIM,
60/2,T17,VILA REAL,CHAVES,VIDAGO,DOURO,320,244400.7,519067.2,A0 - MACIÇO ANTIGO INDIFERENCIADO,
60/1,T20,VILA REAL,CHAVES,VIDAGO,DOURO,325,244582.6,519541.6,A0 - MACIÇO ANTIGO INDIFERENCIADO,
46/1,T24,VILA REAL,CHAVES,ANELHE,DOURO,325,246031.8,521813.8,A0 - MACIÇO ANTIGO INDIFERENCIADO,
413/54,TCN1 - Vila Boim,PORTALEGRE,ELVAS,VILA BOIM,GUADIANA,436.09,274879,210635,A5 - ELVAS - VILA BOIM,
230/18,TD 1,COIMBRA,COIMBRA,SOUSELAS,MONDEGO,50,177000,368070,O0 - ORLA OCIDENTAL INDIFERENCIADO,
240/26,TD 1,COIMBRA,MONTEMOR-O-VELHO,SANTO VARÃO,MONDEGO,9,161160,357880,O6 - ALUVIÕES DO MONDEGO,ABANDONADO
240/27,TD 2,COIMBRA,MONTEMOR-O-VELHO,SANTO VARÃO,MONDEGO,9,161120,357860,O6 - ALUVIÕES DO MONDEGO,
351/2,TD 2,LISBOA,CADAVAL,FIGUEIROS,RIBEIRAS DO OESTE,75,121580,257350,O0 - ORLA OCIDENTAL INDIFERENCIADO,
405/7,TD 2,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,4,136750,219620,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
230/12,TD 3,COIMBRA,COIMBRA,SOUSELAS,MONDEGO,40,175700,368600,O3 - CÁRSICO DA BAIRRADA,
230/177,TD 9,COIMBRA,COIMBRA,-,MONDEGO,30,175830,369550,O3 - CÁRSICO DA BAIRRADA,
307/18,TD1,LEIRIA,NAZARÉ,VALADO DOS FRADES,RIBEIRAS DO OESTE,20,122660,292880,O33 - CALDAS DA RAINHA - NAZARÉ,
404/51,TD1,SANTARÉM,BENAVENTE,SAMORA CORREIA,TEJO,5,135010,214800,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
432/73,TD1,SETÚBAL,MONTIJO,ATALAIA,TEJO,51,131160,193590,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
532/153,TS 1,BEJA,SERPA,SERPA (SANTA MARIA),GUADIANA,156,244147,108013,A9 - GABROS DE BEJA,EM RESERVA
594/102,TS 1,FARO,PORTIMÃO,MEXILHOEIRA GRANDE,RIBEIRAS DO ALGARVE,58.68,161724,24238,M3 - MEXILHOEIRA GRANDE - PORTIMÃO,EM RESERVA
524/82,TS 3,BEJA,SERPA,VALE DE VARGO,GUADIANA,248,265125,116494,A10 - MOURA - FICALHO,EM SERVIÇO
524/83,TS 4,BEJA,SERPA,VALE DE VARGO,GUADIANA,245,265024,116640,A10 - MOURA - FICALHO,EM SERVIÇO
608/365,TV 3,FARO,TAVIRA,SANTO ESTÊVÃO,RIBEIRAS DO ALGARVE,95.9,238650,18800,M14 - MALHÃO,EM SERVIÇO
608/367,TV 5,FARO,TAVIRA,SANTO ESTÊVÃO,RIBEIRAS DO ALGARVE,95.16,238661.29,18870.63,M14 - MALHÃO,EM SERVIÇO
434/280,Taipadas - JKp8,SETÚBAL,MONTIJO,CANHA,TEJO,74,152684,199241.8,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
342/93,ULME,SANTARÉM,CHAMUSCA,ULME,TEJO,46,174170,260820,T3 - BACIA DO TEJO-SADO / MARGEM ESQUERDA,
396/161,VALE DE FREIXO,PORTALEGRE,SOUSEL,CASA BRANCA,TEJO,218,225450,224550,A4 - ESTREMOZ - CANO,
524/51,Vale Vargo,BEJA,SERPA,VALE DE VARGO,GUADIANA,245,265240,116175,A10 - MOURA - FICALHO,
397/91,Vinha do Ferrador,PORTALEGRE,SOUSEL,SOUSEL,TEJO,257,236375,220418,A4 - ESTREMOZ - CANO,
426/332,ZI ESTREMOZ,ÉVORA,ESTREMOZ,ESTREMOZ (SANTA MARIA),TEJO,433,248219,209008,A4 - ESTREMOZ - CANO,
240/82,pz 4 A,COIMBRA,SOURE,ALFARELOS,MONDEGO,5,154686,356248,O6 - ALUVIÕES DO MONDEGO,
240/83,pz 4 B,COIMBRA,SOURE,ALFARELOS,VOUGA/RIBEIRAS COSTEIRAS,5,154686,356245,O6 - ALUVIÕES DO MONDEGO,
320/70,ÁRGEA,SANTARÉM,TORRES NOVAS,OLAIA,TEJO,70,169630,282950,T1 - BACIA DO TEJO-SADO / MARGEM DIREITA,
153/28,,AVEIRO,OVAR,VÁLEGA,VOUGA/RIBEIRAS COSTEIRAS,16.93,160320,430820,O1 - QUATERNÁRIO DE AVEIRO,
153/29,,AVEIRO,OVAR,ARADA,VOUGA/RIBEIRAS COSTEIRAS,36.99,159540,437050,O1 - QUATERNÁRIO DE AVEIRO,
153/30,,AVEIRO,OVAR,OVAR,VOUGA/RIBEIRAS COSTEIRAS,5.23,154920,433960,O1 - QUATERNÁRIO DE AVEIRO,
153/32,,AVEIRO,OVAR,VÁLEGA,VOUGA/RIBEIRAS COSTEIRAS,17,160276,430902,O1 - QUATERNÁRIO DE AVEIRO,
162A/1,,AVEIRO,MURTOSA,TORREIRA,VOUGA/RIBEIRAS COSTEIRAS,6,151800,421610,O2 - CRETÁCICO DE AVEIRO,CIMENTADO
163/100,,AVEIRO,ESTARREJA,-,VOUGA/RIBEIRAS COSTEIRAS,4.76,157420,424900,O1 - QUATERNÁRIO DE AVEIRO,
163/100A,,AVEIRO,MURTOSA,BUNHEIRO,VOUGA/RIBEIRAS COSTEIRAS,4.76,157364,424811,O1 - QUATERNÁRIO DE AVEIRO,
163/114,,AVEIRO,ESTARREJA,PARDILHÓ,VOUGA/RIBEIRAS COSTEIRAS,2,159060,426380,O1 - QUATERNÁRIO DE AVEIRO,EM SERVIÇO
163/115,,AVEIRO,ESTARREJA,PARDILHÓ,VOUGA/RIBEIRAS COSTEIRAS,9,160330,424860,O1 - QUATERNÁRIO DE AVEIRO,EM RESERVA
163/116,,AVEIRO,MURTOSA,BUNHEIRO,VOUGA/RIBEIRAS COSTEIRAS,9,158820,423300,O1 - QUATERNÁRIO DE AVEIRO,
163/117,,AVEIRO,ESTARREJA,VEIROS,VOUGA/RIBEIRAS COSTEIRAS,11,160730,421970,O1 - QUATERNÁRIO DE AVEIRO,EM SERVIÇO
163/118,,AVEIRO,ESTARREJA,VEIROS,VOUGA/RIBEIRAS COSTEIRAS,9,160180,421550,O1 - QUATERNÁRIO DE AVEIRO,EM SERVIÇO
163/121,,AVEIRO,MURTOSA,BUNHEIRO,VOUGA/RIBEIRAS COSTEIRAS,4.01,156470,422000,O1 - QUATERNÁRIO DE AVEIRO,
163/96,,AVEIRO,ESTARREJA,-,VOUGA/RIBEIRAS COSTEIRAS,9.28,160560,420840,O1 - QUATERNÁRIO DE AVEIRO,
163/96A,,AVEIRO,ESTARREJA,VEIROS,VOUGA/RIBEIRAS COSTEIRAS,9,160556,420860,O1 - QUATERNÁRIO DE AVEIRO,
163/97,,AVEIRO,ESTARREJA,-,VOUGA/RIBEIRAS COSTEIRAS,5.72,159290,420650,O1 - QUATERNÁRIO DE AVEIRO,
163/97A,,AVEIRO,ESTARREJA,VEIROS,VOUGA/RIBEIRAS COSTEIRAS,8,159263,421185,O1 - QUATERNÁRIO DE AVEIRO,
163/98,,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,2.82,155000,420230,O1 - QUATERNÁRIO DE AVEIRO,ENTULHADO
163/99,,AVEIRO,MURTOSA,BUNHEIRO,VOUGA/RIBEIRAS COSTEIRAS,2.23,155220,423100,O1 - QUATERNÁRIO DE AVEIRO,ENTULHADO
174/100,,AVEIRO,ESTARREJA,CANELAS,VOUGA/RIBEIRAS COSTEIRAS,59,164700,417420,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
174/101,,AVEIRO,ESTARREJA,CANELAS,VOUGA/RIBEIRAS COSTEIRAS,62,165620,417250,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
174/102,,AVEIRO,ESTARREJA,FERMELÃ,VOUGA/RIBEIRAS COSTEIRAS,4,164300,415720,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
174/103,,AVEIRO,ESTARREJA,FERMELÃ,VOUGA/RIBEIRAS COSTEIRAS,61,165740,415570,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
174/104,,AVEIRO,ESTARREJA,FERMELÃ,VOUGA/RIBEIRAS COSTEIRAS,19,164480,414240,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
174/105,,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,5,157220,419440,O1 - QUATERNÁRIO DE AVEIRO,EM RESERVA
174/106,,AVEIRO,MURTOSA,-,VOUGA/RIBEIRAS COSTEIRAS,5,157880,418480,O1 - QUATERNÁRIO DE AVEIRO,EM SERVIÇO
174/20,,AVEIRO,MURTOSA,TORREIRA,VOUGA/RIBEIRAS COSTEIRAS,2,152050,417050,O1 - QUATERNÁRIO DE AVEIRO,
174/99,,AVEIRO,ESTARREJA,SALREU,VOUGA/RIBEIRAS COSTEIRAS,63,166220,419340,A0 - MACIÇO ANTIGO INDIFERENCIADO,EM SERVIÇO
185/102,,AVEIRO,AVEIRO,GLÓRIA,VOUGA/RIBEIRAS COSTEIRAS,27,157650,406420,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
185/103,,AVEIRO,AVEIRO,SÃO BERNARDO,VOUGA/RIBEIRAS COSTEIRAS,26,157600,405860,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
185/104,,AVEIRO,AVEIRO,OLIVEIRINHA,VOUGA/RIBEIRAS COSTEIRAS,51,160360,405140,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
185/105,,AVEIRO,AVEIRO,OLIVEIRINHA,VOUGA/RIBEIRAS COSTEIRAS,52,160040,405070,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
185/106,,AVEIRO,AVEIRO,OLIVEIRINHA,VOUGA/RIBEIRAS COSTEIRAS,54,161420,404760,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
185/107,,AVEIRO,AVEIRO,EIXO,VOUGA/RIBEIRAS COSTEIRAS,3,164620,406060,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
185/108,,AVEIRO,AVEIRO,NOSSA SENHORA DE FÁTIMA,VOUGA/RIBEIRAS COSTEIRAS,50,161440,402360,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
185/109,,AVEIRO,AVEIRO,NOSSA SENHORA DE FÁTIMA,VOUGA/RIBEIRAS COSTEIRAS,59,162660,401600,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
195/20,,AVEIRO,VAGOS,CALVÃO,VOUGA/RIBEIRAS COSTEIRAS,34,151900,391330,O1 - QUATERNÁRIO DE AVEIRO,ENTULHADO
195/24,,COIMBRA,MIRA,SEIXO,VOUGA/RIBEIRAS COSTEIRAS,19,148500,390670,O1 - QUATERNÁRIO DE AVEIRO,
195/28,,COIMBRA,MIRA,PRAIA DE MIRA,VOUGA/RIBEIRAS COSTEIRAS,8,145230,392450,O1 - QUATERNÁRIO DE AVEIRO,
195/33,,AVEIRO,VAGOS,GAFANHA DA BOA HORA,VOUGA/RIBEIRAS COSTEIRAS,12,147030,396040,O1 - QUATERNÁRIO DE AVEIRO,
195/42,,AVEIRO,VAGOS,VAGOS,VOUGA/RIBEIRAS COSTEIRAS,9.96,151811,397045,O1 - QUATERNÁRIO DE AVEIRO,
196/100,,AVEIRO,OLIVEIRA DO BAIRRO,-,VOUGA/RIBEIRAS COSTEIRAS,61,160930,394050,O0 - ORLA OCIDENTAL INDIFERENCIADO,
196/105,,AVEIRO,OLIVEIRA DO BAIRRO,OIÃ,VOUGA/RIBEIRAS COSTEIRAS,55,163710,394670,O0 - ORLA OCIDENTAL INDIFERENCIADO,
196/109,,AVEIRO,OLIVEIRA DO BAIRRO,OLIVEIRA DO BAIRRO,VOUGA/RIBEIRAS COSTEIRAS,50,166360,394440,O0 - ORLA OCIDENTAL INDIFERENCIADO,
196/12,,AVEIRO,VAGOS,SOSA,VOUGA/RIBEIRAS COSTEIRAS,54,158920,399580,O0 - ORLA OCIDENTAL INDIFERENCIADO,
196/136,,AVEIRO,OLIVEIRA DO BAIRRO,-,VOUGA/RIBEIRAS COSTEIRAS,50,163690,392470,O2 - CRETÁCICO DE AVEIRO,
196/15,,AVEIRO,AVEIRO,NARIZ,VOUGA/RIBEIRAS COSTEIRAS,20,160330,398230,O0 - ORLA OCIDENTAL INDIFERENCIADO,
196/2,,AVEIRO,VAGOS,-,VOUGA/RIBEIRAS COSTEIRAS,15,152750,398430,O0 - ORLA OCIDENTAL INDIFERENCIADO,
196/213,,AVEIRO,OLIVEIRA DO BAIRRO,MAMARROSA,VOUGA/RIBEIRAS COSTEIRAS,64,161500,392200,O2 - CRETÁCICO DE AVEIRO,
196/223,,AVEIRO,VAGOS,SOSA,VOUGA/RIBEIRAS COSTEIRAS,53,155820,397000,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
196/224,,AVEIRO,VAGOS,SOSA,VOUGA/RIBEIRAS COSTEIRAS,57,155860,396780,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
196/225,,AVEIRO,VAGOS,-,VOUGA/RIBEIRAS COSTEIRAS,24,153960,395480,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
196/226,,AVEIRO,VAGOS,OUCA,VOUGA/RIBEIRAS COSTEIRAS,50,158180,394990,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
196/227,,AVEIRO,VAGOS,OUCA,VOUGA/RIBEIRAS COSTEIRAS,52,157150,393680,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
196/228,,AVEIRO,VAGOS,OUCA,VOUGA/RIBEIRAS COSTEIRAS,50,156800,393300,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
196/229,,AVEIRO,VAGOS,OUCA,VOUGA/RIBEIRAS COSTEIRAS,52,156440,393280,O0 - ORLA OCIDENTAL INDIFERENCIADO,EM SERVIÇO
